Date,Open,High,Low,Close,Volume,Adj Close
2010-07-16,253.18,254.97,248.41,249.90,37137800,249.90
2010-07-15,248.23,256.97,247.30,251.45,29459500,251.45
2010-07-14,249.38,255.80,249.00,252.73,29001700,252.73
2010-07-13,256.32,256.40,246.43,251.80,42533000,251.80
2010-07-12,258.53,261.85,254.86,257.29,20102800,257.29
2010-07-09,256.89,259.90,255.16,259.62,15475800,259.62
2010-07-08,262.48,262.90,254.89,258.09,26362300,258.09
2010-07-07,250.49,258.77,249.75,258.67,23377000,258.67
2010-07-06,251.00,252.80,246.16,248.63,21972700,248.63
2010-07-02,250.49,250.93,243.20,246.94,24780100,246.94
2010-07-01,254.30,254.80,243.22,248.48,36532000,248.48
2010-06-30,256.71,257.97,250.01,251.53,26409000,251.53
2010-06-29,264.12,264.39,254.30,256.17,40476600,256.17
2010-06-28,266.93,269.75,264.52,268.30,20891000,268.30
2010-06-25,270.06,270.27,265.81,266.70,19640800,266.70
2010-06-24,271.00,273.20,268.10,269.00,25509900,269.00
2010-06-23,274.58,274.66,267.90,270.97,27444900,270.97
2010-06-22,272.16,275.97,271.50,273.85,25616500,273.85
2010-06-21,277.69,279.01,268.73,270.17,27731800,270.17
2010-06-18,272.25,275.00,271.42,274.07,28022200,274.07
2010-06-17,270.60,272.90,269.50,271.87,31173400,271.87
2010-06-16,261.10,267.75,260.63,267.25,27988500,267.25
2010-06-15,255.64,259.85,255.50,259.69,20895500,259.69
2010-06-14,255.96,259.15,254.01,254.28,21534300,254.28
2010-06-11,248.23,253.86,247.37,253.51,19491400,253.51
2010-06-10,244.84,250.98,242.20,250.51,27727000,250.51
2010-06-09,251.47,251.90,242.49,243.20,30522500,243.20
2010-06-08,253.24,253.80,245.65,249.33,35741800,249.33
2010-06-07,258.29,259.15,250.55,250.94,31676500,250.94
2010-06-04,258.21,261.90,254.63,255.96,27082300,255.96
2010-06-03,265.18,265.55,260.41,263.12,23218100,263.12
2010-06-02,264.54,264.80,260.33,263.95,24591000,263.95
2010-06-01,259.69,265.94,258.96,260.83,31302600,260.83
2010-05-28,259.39,259.40,253.35,256.88,29129100,256.88
2010-05-27,250.60,253.89,249.11,253.35,23795800,253.35
2010-05-26,250.08,252.13,243.75,244.11,30380500,244.11
2010-05-25,239.35,246.76,237.16,245.22,37428800,245.22
2010-05-24,247.28,250.90,246.26,246.76,26937100,246.76
2010-05-21,232.82,244.50,231.35,242.32,43710400,242.32
2010-05-20,241.88,243.85,236.21,237.76,45818400,237.76
2010-05-19,249.50,252.92,244.85,248.34,36633100,248.34
2010-05-18,256.98,258.55,250.26,252.36,27952800,252.36
2010-05-17,254.70,256.18,247.71,254.22,27244100,254.22
2010-05-14,255.16,256.48,249.50,253.82,27120100,253.82
2010-05-13,263.22,265.00,256.40,258.36,21418300,258.36
2010-05-12,259.24,263.13,258.70,262.09,23370700,262.09
2010-05-11,251.84,259.89,250.50,256.52,30318100,256.52
2010-05-10,250.25,254.65,248.53,253.99,35153800,253.99
2010-05-07,243.71,246.57,225.21,235.86,59857800,235.86
2010-05-06,253.83,258.25,199.25,246.25,45923600,246.25
2010-05-05,253.03,258.14,248.73,255.99,31539400,255.99
2010-05-04,262.89,263.29,256.75,258.68,25850700,258.68
2010-05-03,263.84,267.88,262.88,266.35,16226500,266.35
2010-04-30,269.31,270.57,261.00,261.09,19373700,261.09
2010-04-29,263.02,270.00,262.01,268.64,19958600,268.64
2010-04-28,263.25,264.00,256.41,261.60,27085800,261.60
2010-04-27,267.27,267.84,260.52,262.04,25333700,262.04
2010-04-26,271.88,272.46,268.19,269.50,17109600,269.50
2010-04-23,267.99,272.18,267.00,270.83,28462700,270.83
2010-04-22,258.24,266.75,256.20,266.47,28336600,266.47
2010-04-21,258.80,260.25,255.73,259.22,35085400,259.22
2010-04-20,248.54,249.25,242.96,244.59,26368800,244.59
2010-04-19,247.03,247.89,241.77,247.07,20247300,247.07
2010-04-16,248.57,251.14,244.55,247.40,26805200,247.40
2010-04-15,245.78,249.03,245.51,248.92,13456600,248.92
2010-04-14,245.28,245.81,244.07,245.69,14431300,245.69
2010-04-13,241.86,242.80,241.11,242.43,10936100,242.43
2010-04-12,242.20,243.07,241.81,242.29,11893800,242.29
2010-04-09,241.43,241.89,240.46,241.79,11935100,241.79
2010-04-08,240.44,241.54,238.04,239.95,20463900,239.95
2010-04-07,239.55,241.92,238.66,240.60,22446500,240.60
2010-04-06,238.20,240.24,237.00,239.54,15964900,239.54
2010-04-05,234.98,238.51,234.77,238.49,24446700,238.49
2010-04-01,237.41,238.73,232.75,235.97,21540900,235.97
2010-03-31,235.49,236.61,234.46,235.00,15380700,235.00
2010-03-30,236.60,237.48,234.25,235.85,18832500,235.85
2010-03-29,233.00,233.87,231.62,232.39,19312300,232.39
2010-03-26,228.95,231.95,228.55,230.90,22888400,230.90
2010-03-25,230.92,230.97,226.25,226.65,19367300,226.65
2010-03-24,227.64,230.20,227.51,229.37,21349300,229.37
2010-03-23,225.64,228.78,224.10,228.36,21515400,228.36
2010-03-22,220.47,226.00,220.15,224.75,16300700,224.75
2010-03-19,224.79,225.24,221.23,222.25,19980200,222.25
2010-03-18,224.10,225.00,222.61,224.65,12218200,224.65
2010-03-17,224.90,226.45,223.27,224.12,16105600,224.12
2010-03-16,224.18,224.98,222.51,224.45,15961000,224.45
2010-03-15,225.38,225.50,220.25,223.84,17625100,223.84
2010-03-12,227.37,227.73,225.75,226.60,14868700,226.60
2010-03-11,223.91,225.50,223.32,225.50,14489300,225.50
2010-03-10,223.83,225.48,223.20,224.84,21293500,224.84
2010-03-09,218.31,225.00,217.89,223.02,32866400,223.02
2010-03-08,220.01,220.09,218.25,219.08,15353200,219.08
